GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
840,48724800.0,22578.0,18.813,0.009,17.678145,-64.902355
841,6600893.0,632642.0,2.549,0.244,17.758634,-64.817451
850,60060282.0,3028705.0,23.189,1.169,17.745949,-64.80055
851,19685283.0,71124.0,7.601,0.027,17.732228,-64.77076
901,2535590.0,30548.0,0.979,0.012,18.465369,-66.104613
906,8247.0,0.0,0.003,0.0,18.46446,-66.094995
907,3118632.0,347421.0,1.204,0.134,18.452553,-66.077838
909,1580961.0,49304.0,0.61,0.019,18.44161,-66.067132
911,1232508.0,0.0,0.476,0.0,18.451159,-66.056199
912,862970.0,0.0,0.333,0.0,18.445334,-66.060139
913,834840.0,0.0,0.322,0.0,18.450002,-66.042656
915,3616961.0,813349.0,1.397,0.314,18.437179,-66.045571
917,3360010.0,46991.0,1.297,0.018,18.420674,-66.050105
918,5516959.0,101168.0,2.13,0.039,18.421022,-66.065789
920,7363192.0,106880.0,2.843,0.041,18.414292,-66.088042
921,6925339.0,0.0,2.674,0.0,18.392292,-66.088528
923,5285548.0,7301.0,2.041,0.003,18.409307,-66.038888
924,12146991.0,1369.0,4.69,0.001,18.399192,-66.012453
925,1158082.0,0.0,0.447,0.0,18.400296,-66.050602
926,62578786.0,1047991.0,24.162,0.405,18.3454,-66.051545
927,6803686.0,5830.0,2.627,0.002,18.388011,-66.072089
934,1940428.0,26786.0,0.749,0.01,18.411313,-66.124234
936,417954.0,0.0,0.161,0.0,18.395463,-66.073772
949,45535083.0,2112065.0,17.581,0.815,18.430696,-66.212833
950,6204979.0,1989343.0,2.396,0.768,18.459699,-66.233101
951,1075640.0,29541.0,0.415,0.011,18.42753,-66.253789
952,3204976.0,0.0,1.237,0.0,18.427448,-66.182026
953,69143779.0,1364965.0,26.697,0.527,18.360729,-66.251527
956,68564539.0,215367.0,26.473,0.083,18.321137,-66.170419
957,11967746.0,1407.0,4.621,0.001,18.368414,-66.187693
959,16618004.0,81792.0,6.416,0.032,18.385785,-66.155654
960,2366331.0,2485.0,0.914,0.001,18.416747,-66.144485
961,13404389.0,168929.0,5.175,0.065,18.413307,-66.164683
962,9888762.0,1121474.0,3.818,0.433,18.444614,-66.148819
965,1746399.0,328905.0,0.674,0.127,18.433757,-66.114752
966,8339816.0,4490.0,3.22,0.002,18.401521,-66.117597
968,1185643.0,0.0,0.458,0.0,18.406085,-66.101232
969,12648268.0,39798.0,4.884,0.015,18.368062,-66.108062
971,41342975.0,94183.0,15.963,0.036,18.318884,-66.11919
976,43351334.0,735152.0,16.738,0.284,18.33618,-65.994101
979,4047189.0,504454.0,1.563,0.195,18.444394,-66.030036
982,3672331.0,19112.0,1.418,0.007,18.411261,-65.992045
983,8964405.0,616660.0,3.461,0.238,18.417816,-65.975819
985,21068679.0,747164.0,8.135,0.288,18.410774,-65.947927
987,64350355.0,422661.0,24.846,0.163,18.338161,-65.941083
1001,29797204.0,2118827.0,11.505,0.818,42.062368,-72.625754
1002,142617852.0,4276645.0,55.065,1.651,42.36406,-72.458741
1003,1842387.0,12788.0,0.711,0.005,42.389698,-72.524009
1005,114637907.0,666424.0,44.262,0.257,42.418848,-72.106598
1007,136236049.0,6944239.0,52.601,2.681,42.27901,-72.400468
1008,139346414.0,5108939.0,53.802,1.973,42.190191,-72.954263
1009,2104351.0,0.0,0.812,0.0,42.209669,-72.339743
1010,90060192.0,1415647.0,34.772,0.547,42.128176,-72.205352
1011,81830551.0,342669.0,31.595,0.132,42.300281,-72.968716
1012,33971460.0,543537.0,13.116,0.21,42.375425,-72.858192
1013,14567299.0,1731913.0,5.624,0.669,42.154904,-72.602804
1020,32299110.0,1170576.0,12.471,0.452,42.172602,-72.562073
1022,12340434.0,2118.0,4.765,0.001,42.197741,-72.542713
1026,62173901.0,332330.0,24.005,0.128,42.465495,-72.918267
1027,104893841.0,1205216.0,40.5,0.465,42.295008,-72.751877
1028,33504712.0,181924.0,12.936,0.07,42.062378,-72.498111
1029,41050306.0,5314948.0,15.85,2.052,42.193395,-73.044647
1030,30650433.0,445490.0,11.834,0.172,42.072925,-72.686972
1031,21012723.0,0.0,8.113,0.0,42.32938,-72.198156
1032,30467674.0,887485.0,11.764,0.343,42.457613,-72.81478
1033,72039174.0,666977.0,27.814,0.258,42.244949,-72.500143
1034,185541250.0,5090992.0,71.638,1.966,42.093912,-72.961103
1035,59785001.0,3940203.0,23.083,1.521,42.356491,-72.568632
1036,50452198.0,89778.0,19.48,0.035,42.071188,-72.417718
1037,36534058.0,3961965.0,14.106,1.53,42.372728,-72.195412
1038,25871792.0,2247127.0,9.989,0.868,42.385496,-72.606929
1039,34227578.0,599161.0,13.215,0.231,42.404287,-72.688924
1040,55069485.0,4074018.0,21.262,1.573,42.211656,-72.642448
1050,99264985.0,2581165.0,38.326,0.997,42.286762,-72.869695
1053,13289902.0,251887.0,5.131,0.097,42.356301,-72.713584
1054,59027067.0,425597.0,22.79,0.164,42.468898,-72.484579
1056,70461231.0,2938128.0,27.205,1.134,42.183577,-72.457812
1057,116445834.0,1476587.0,44.96,0.57,42.093596,-72.321494
1060,28292827.0,3250681.0,10.924,1.255,42.321488,-72.630588
